id,symbol,ask,bid,flags,last,time,time_msc,volume,volume_real,timestamp
73,WINV20,100410,100405,0,100405,2020-09-03T14:26:59Z,1599143219357,2,2,2020-9-3 14:27:00
74,WINV20,100520,100515,0,100515,2020-09-03T14:27:59Z,1599143279351,8,8,2020-9-3 14:28:00
75,WINV20,100495,100490,0,100495,2020-09-03T14:28:59Z,1599143339373,1,1,2020-9-3 14:29:00
76,WINV20,100505,100500,0,100505,2020-09-03T14:29:59Z,1599143399270,10,10,2020-9-3 14:30:00
77,WINV20,100290,100285,0,100285,2020-09-03T14:30:59Z,1599143459344,2,2,2020-9-3 14:31:00
78,WINV20,100305,100300,56,100305,2020-09-03T14:31:59Z,1599143519400,9,9,2020-9-3 14:32:00
79,WINV20,100365,100360,0,100365,2020-09-03T14:32:59Z,1599143579381,2,2,2020-9-3 14:33:00
80,WINV20,100385,100380,0,100380,2020-09-03T14:33:59Z,1599143639443,1,1,2020-9-3 14:34:00
81,WINV20,100365,100355,0,100360,2020-09-03T14:34:59Z,1599143699349,1,1,2020-9-3 14:35:00
82,WINV20,100440,100435,0,100435,2020-09-03T14:35:59Z,1599143759308,1,1,2020-9-3 14:36:00
83,WINV20,100460,100455,0,100460,2020-09-03T14:36:59Z,1599143819360,1,1,2020-9-3 14:37:00
84,WINV20,100435,100425,2,100435,2020-09-03T14:37:59Z,1599143879477,4,4,2020-9-3 14:38:00
85,WINV20,100445,100440,0,100445,2020-09-03T14:38:59Z,1599143939317,2,2,2020-9-3 14:39:00
86,WINV20,100290,100285,0,100275,2020-09-03T14:39:58Z,1599143998973,1,1,2020-9-3 14:40:00
87,WINV20,100315,100310,2,100310,2020-09-03T14:40:59Z,1599144059294,2,2,2020-9-3 14:41:00
88,WINV20,100140,100135,0,100140,2020-09-03T14:41:59Z,1599144119402,1,1,2020-9-3 14:42:00
89,WINV20,100175,100170,0,100175,2020-09-03T14:42:59Z,1599144179378,3,3,2020-9-3 14:43:00
90,WINV20,100140,100135,4,100140,2020-09-03T14:43:59Z,1599144239323,5,5,2020-9-3 14:44:00
91,WINV20,100120,100110,0,100115,2020-09-03T14:44:59Z,1599144299363,3,3,2020-9-3 14:45:00
92,WINV20,100120,100110,2,100120,2020-09-03T14:45:59Z,1599144359339,5,5,2020-9-3 14:46:00
93,WINV20,100200,100195,0,100195,2020-09-03T14:46:59Z,1599144419282,1,1,2020-9-3 14:47:00
94,WINV20,100310,100305,0,100305,2020-09-03T14:47:59Z,1599144479339,1,1,2020-9-3 14:48:00
95,WINV20,100190,100185,88,100185,2020-09-03T14:48:59Z,1599144539333,4,4,2020-9-3 14:49:00
96,WINV20,100115,100110,0,100110,2020-09-03T14:49:59Z,1599144599303,20,20,2020-9-3 14:50:00
97,WINV20,100245,100240,0,100240,2020-09-03T14:50:59Z,1599144659398,2,2,2020-9-3 14:51:00
98,WINV20,100205,100200,0,100205,2020-09-03T14:51:59Z,1599144719380,2,2,2020-9-3 14:52:00
99,WINV20,100125,100120,0,100125,2020-09-03T14:52:59Z,1599144779306,3,3,2020-9-3 14:53:00
100,WINV20,100105,100100,4,100105,2020-09-03T14:53:59Z,1599144839338,1,1,2020-9-3 14:54:00
101,WINV20,100165,100160,0,100160,2020-09-03T14:54:59Z,1599144899337,10,10,2020-9-3 14:55:00
102,WINV20,100200,100195,0,100200,2020-09-03T14:55:59Z,1599144959288,1,1,2020-9-3 14:56:00
103,WINV20,99870,99865,0,99870,2020-09-03T14:56:59Z,1599145019376,2,2,2020-9-3 14:57:00
104,WINV20,99945,99940,56,99945,2020-09-03T14:57:59Z,1599145079366,1,1,2020-9-3 14:58:00
105,WINV20,99920,99915,0,99920,2020-09-03T14:58:59Z,1599145139397,1,1,2020-9-3 14:59:00
106,WINV20,100045,100040,0,100040,2020-09-03T14:59:59Z,1599145199244,3,3,2020-9-3 15:00:00
107,WINV20,100125,100120,0,100125,2020-09-03T15:00:59Z,1599145259305,4,4,2020-9-3 15:01:00
108,WINV20,100220,100215,0,100215,2020-09-03T15:01:59Z,1599145319324,2,2,2020-9-3 15:02:00
109,WINV20,100250,100245,4,100255,2020-09-03T15:02:59Z,1599145379360,1,1,2020-9-3 15:03:00
110,WINV20,100290,100285,0,100285,2020-09-03T15:03:59Z,1599145439342,1,1,2020-9-3 15:04:00
111,WINV20,100275,100270,0,100275,2020-09-03T15:04:59Z,1599145499194,1,1,2020-9-3 15:05:00
112,WINV20,100300,100295,2,100295,2020-09-03T15:05:59Z,1599145559407,1,1,2020-9-3 15:06:00
113,WINV20,100390,100385,0,100385,2020-09-03T15:06:59Z,1599145619383,1,1,2020-9-3 15:07:00
114,WINV20,100385,100380,0,100380,2020-09-03T15:07:59Z,1599145679200,1,1,2020-9-3 15:08:00
115,WINV20,100265,100260,0,100260,2020-09-03T15:08:59Z,1599145739327,3,3,2020-9-3 15:09:00
116,WINV20,100275,100270,0,100270,2020-09-03T15:09:59Z,1599145799364,1,1,2020-9-3 15:10:00
117,WINV20,100350,100345,0,100350,2020-09-03T15:10:59Z,1599145859214,3,3,2020-9-3 15:11:00
118,WINV20,100445,100440,0,100440,2020-09-03T15:11:59Z,1599145919320,2,2,2020-9-3 15:12:00
119,WINV20,100390,100385,0,100385,2020-09-03T15:12:59Z,1599145979340,10,10,2020-9-3 15:13:00
120,WINV20,100320,100315,0,100320,2020-09-03T15:13:59Z,1599146039331,5,5,2020-9-3 15:14:00
121,WINV20,100370,100365,0,100370,2020-09-03T15:14:59Z,1599146099087,5,5,2020-9-3 15:15:00
122,WINV20,100310,100300,0,100300,2020-09-03T15:15:59Z,1599146159303,1,1,2020-9-3 15:16:00
123,WINV20,100245,100240,0,100240,2020-09-03T15:16:59Z,1599146219291,1,1,2020-9-3 15:17:00
124,WINV20,100360,100355,0,100360,2020-09-03T15:17:59Z,1599146279255,1,1,2020-9-3 15:18:00
125,WINV20,100340,100335,0,100335,2020-09-03T15:18:59Z,1599146339342,10,10,2020-9-3 15:19:00
126,WINV20,100330,100325,0,100325,2020-09-03T15:19:59Z,1599146399276,2,2,2020-9-3 15:20:00
127,WINV20,100330,100325,0,100330,2020-09-03T15:20:59Z,1599146459277,1,1,2020-9-3 15:21:00
128,WINV20,100430,100425,0,100425,2020-09-03T15:21:59Z,1599146519130,1,1,2020-9-3 15:22:00
129,WINV20,100540,100535,0,100540,2020-09-03T15:22:59Z,1599146579235,1,1,2020-9-3 15:23:00
130,WINV20,100530,100520,0,100525,2020-09-03T15:23:59Z,1599146639254,5,5,2020-9-3 15:24:00
131,WINV20,100560,100555,0,100560,2020-09-03T15:24:59Z,1599146699312,1,1,2020-9-3 15:25:00
132,WINV20,100515,100510,0,100515,2020-09-03T15:25:59Z,1599146759191,1,1,2020-9-3 15:26:00
133,WINV20,100620,100610,0,100615,2020-09-03T15:26:59Z,1599146819372,1,1,2020-9-3 15:27:00
134,WINV20,100620,100615,0,100620,2020-09-03T15:27:59Z,1599146879227,1,1,2020-9-3 15:28:00
135,WINV20,100700,100695,0,100695,2020-09-03T15:28:59Z,1599146939290,1,1,2020-9-3 15:29:00
136,WINV20,100680,100675,0,100680,2020-09-03T15:29:59Z,1599146999321,1,1,2020-9-3 15:30:00
137,WINV20,100720,100715,0,100715,2020-09-03T15:30:59Z,1599147059324,1,1,2020-9-3 15:31:00
138,WINV20,100765,100755,0,100760,2020-09-03T15:31:59Z,1599147119254,5,5,2020-9-3 15:32:00
139,WINV20,100955,100950,0,100950,2020-09-03T15:32:59Z,1599147179287,5,5,2020-9-3 15:33:00
140,WINV20,100940,100935,0,100945,2020-09-03T15:33:59Z,1599147239364,1,1,2020-9-3 15:34:00
141,WINV20,100920,100915,0,100920,2020-09-03T15:34:59Z,1599147299343,2,2,2020-9-3 15:35:00
142,WINV20,100945,100935,0,100940,2020-09-03T15:35:59Z,1599147359246,1,1,2020-9-3 15:36:00
143,WINV20,100900,100895,0,100895,2020-09-03T15:36:59Z,1599147419302,5,5,2020-9-3 15:37:00
144,WINV20,100890,100885,0,100890,2020-09-03T15:37:59Z,1599147479367,4,4,2020-9-3 15:38:00
145,WINV20,100855,100850,0,100850,2020-09-03T15:38:59Z,1599147539373,1,1,2020-9-3 15:39:00
146,WINV20,100870,100865,0,100870,2020-09-03T15:39:59Z,1599147599293,3,3,2020-9-3 15:40:00
147,WINV20,100860,100855,88,100855,2020-09-03T15:40:59Z,1599147659293,5,5,2020-9-3 15:41:00
148,WINV20,100760,100755,0,100760,2020-09-03T15:41:59Z,1599147719234,1,1,2020-9-3 15:42:00
149,WINV20,100805,100800,0,100800,2020-09-03T15:42:59Z,1599147779278,1,1,2020-9-3 15:43:00
150,WINV20,100765,100760,0,100765,2020-09-03T15:43:59Z,1599147839255,1,1,2020-9-3 15:44:00
151,WINV20,100740,100735,0,100735,2020-09-03T15:44:59Z,1599147899262,5,5,2020-9-3 15:45:00
152,WINV20,100755,100750,0,100750,2020-09-03T15:45:59Z,1599147959331,20,20,2020-9-3 15:46:00
153,WINV20,100730,100725,0,100725,2020-09-03T15:46:59Z,1599148019382,5,5,2020-9-3 15:47:00
154,WINV20,100695,100690,4,100690,2020-09-03T16:39:05Z,1599151145900,1,1,2020-9-3 16:39:07
155,WINV20,100635,100630,0,100635,2020-09-03T16:39:59Z,1599151199156,1,1,2020-9-3 16:40:00
156,WINV20,100600,100595,0,100600,2020-09-03T16:40:59Z,1599151259351,2,2,2020-9-3 16:41:00
157,WINV20,100685,100680,0,100685,2020-09-03T16:41:59Z,1599151319080,1,1,2020-9-3 16:42:00
158,WINV20,100700,100695,0,100695,2020-09-03T16:42:59Z,1599151379244,1,1,2020-9-3 16:43:00
159,WINV20,100750,100740,0,100745,2020-09-03T16:43:59Z,1599151439055,1,1,2020-9-3 16:44:00
160,WINV20,100720,100715,0,100720,2020-09-03T16:44:59Z,1599151499368,2,2,2020-9-3 16:45:00
161,WINV20,100710,100705,0,100705,2020-09-03T16:45:59Z,1599151559279,4,4,2020-9-3 16:46:00
162,WINV20,100645,100640,4,100645,2020-09-03T16:46:58Z,1599151618880,1,1,2020-9-3 16:47:00
163,WINV20,100680,100675,0,100675,2020-09-03T16:47:58Z,1599151678923,1,1,2020-9-3 16:48:00
164,WINV20,100620,100615,0,100615,2020-09-03T16:48:58Z,1599151738879,1,1,2020-9-3 16:49:00
165,WINV20,100580,100575,0,100575,2020-09-03T16:49:58Z,1599151798940,1,1,2020-9-3 16:50:00
166,WINV20,100460,100455,0,100455,2020-09-03T16:50:58Z,1599151858884,4,4,2020-9-3 16:51:00
167,WINV20,100505,100500,0,100500,2020-09-03T16:51:58Z,1599151918978,2,2,2020-9-3 16:52:00
168,WINV20,100565,100555,2,100560,2020-09-03T16:52:58Z,1599151978842,1,1,2020-9-3 16:53:00
169,WINV20,100640,100635,0,100635,2020-09-03T16:53:58Z,1599152038777,1,1,2020-9-3 16:54:00
170,WINV20,100785,100780,0,100780,2020-09-03T16:54:58Z,1599152098986,3,3,2020-9-3 16:55:00
171,WINV20,100835,100830,0,100830,2020-09-03T16:55:58Z,1599152158933,3,3,2020-9-3 16:56:00
172,WINV20,100895,100890,0,100890,2020-09-03T16:56:58Z,1599152218985,1,1,2020-9-3 16:57:00
173,WINV20,100890,100885,88,100885,2020-09-03T16:57:58Z,1599152278950,1,1,2020-9-3 16:58:00
174,WINV20,100835,100830,2,100825,2020-09-03T16:58:58Z,1599152338795,1,1,2020-9-3 16:59:00
175,WINV20,100820,100815,0,100815,2020-09-03T16:59:58Z,1599152398957,1,1,2020-9-3 17:00:00
176,WINV20,100885,100880,4,100885,2020-09-03T17:00:58Z,1599152458882,1,1,2020-9-3 17:01:00
177,WINV20,100905,100900,0,100900,2020-09-03T17:01:58Z,1599152518659,2,2,2020-9-3 17:02:00
178,WINV20,100955,100945,0,100950,2020-09-03T17:02:58Z,1599152578924,1,1,2020-9-3 17:03:00
179,WINV20,100865,100860,0,100870,2020-09-03T17:03:58Z,1599152638961,5,5,2020-9-3 17:04:00
180,WINV20,100855,100850,0,100850,2020-09-03T17:04:58Z,1599152698800,2,2,2020-9-3 17:05:00
181,WINV20,100850,100840,0,100845,2020-09-03T17:05:58Z,1599152758872,3,3,2020-9-3 17:06:00
182,WINV20,100845,100835,0,100845,2020-09-03T17:06:58Z,1599152818923,1,1,2020-9-3 17:07:00
183,WINV20,100890,100885,0,100890,2020-09-03T17:07:58Z,1599152878727,1,1,2020-9-3 17:08:00
184,WINV20,100900,100895,0,100900,2020-09-03T17:08:58Z,1599152938528,1,1,2020-9-3 17:09:00
185,WINV20,100880,100875,0,100880,2020-09-03T17:09:58Z,1599152998938,5,5,2020-9-3 17:10:00
186,WINV20,100835,100830,4,100835,2020-09-03T17:10:58Z,1599153058850,3,3,2020-9-3 17:11:00
187,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:28:05
188,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:29:04
189,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:30:00
190,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:31:00
191,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:32:00
